ENSMUSG00000045954	Sdpr
ENSMUSG00000026107	Nabp1
ENSMUSG00000099413	Gm17767
ENSMUSG00000018417	Myo1b
ENSMUSG00000062939	Stat4
ENSMUSG00000026104	Stat1
ENSMUSG00000026103	Gls
ENSMUSG00000002881	Nab1
ENSMUSG00000100120	Gm553
ENSMUSG00000043015	Tmem194b
ENSMUSG00000041439	Mfsd6
ENSMUSG00000026102	Inpp1
ENSMUSG00000041426	Hibch
ENSMUSG00000043629	1700019D03Rik
ENSMUSG00000026098	Pms1
ENSMUSG00000026097	Ormdl1
ENSMUSG00000026096	Osgepl1
ENSMUSG00000099913	Gm28551
ENSMUSG00000026095	Asnsd1
ENSMUSG00000026094	Stk17b
ENSMUSG00000042807	Hecw2
ENSMUSG00000025983	Ccdc150
ENSMUSG00000041303	Gtf3c3
ENSMUSG00000073678	Pgap1
ENSMUSG00000052331	Ankrd44
ENSMUSG00000101674	4930444A19Rik
ENSMUSG00000025982	Sf3b1
ENSMUSG00000025981	Coq10b
ENSMUSG00000025980	Hspd1
ENSMUSG00000073676	Hspe1
ENSMUSG00000025979	Mob4
ENSMUSG00000025978	Rftn2
ENSMUSG00000097649	Gm10561
ENSMUSG00000046994	Mars2
ENSMUSG00000038349	Plcl1
ENSMUSG00000099950	9130227L01Rik
ENSMUSG00000038331	Satb2
ENSMUSG00000097519	4930558J18Rik
ENSMUSG00000038323	1700066M21Rik
ENSMUSG00000048495	Tyw5
ENSMUSG00000025971	9430016H08Rik
ENSMUSG00000054770	Kctd18
ENSMUSG00000026039	Sgol2a
ENSMUSG00000063558	Aox1
ENSMUSG00000064294	Aox3
ENSMUSG00000079554	Aox2
ENSMUSG00000051223	Bzw1
ENSMUSG00000026034	Clk1
ENSMUSG00000026035	Ppil3
ENSMUSG00000026036	Nif3l1
ENSMUSG00000026037	Orc2
ENSMUSG00000085054	Gm15834
ENSMUSG00000038174	Fam126b
ENSMUSG00000026032	Ndufb3
ENSMUSG00000047528	Als2cr12
ENSMUSG00000026031	Cflar
ENSMUSG00000026029	Casp8
ENSMUSG00000026028	Trak2
ENSMUSG00000026027	Stradb
ENSMUSG00000038079	Tmem237
ENSMUSG00000097573	G730003C15Rik
ENSMUSG00000079550	Mpp4
ENSMUSG00000101586	Gm29017
ENSMUSG00000026024	Als2
ENSMUSG00000026023	Cdk15
ENSMUSG00000041075	Fzd7
ENSMUSG00000097819	Gm26813
ENSMUSG00000026021	Sumo1
ENSMUSG00000026020	Nop58
ENSMUSG00000067336	Bmpr2
ENSMUSG00000041040	Fam117b
ENSMUSG00000026018	Ica1l
ENSMUSG00000026019	Wdr12
ENSMUSG00000026017	Carf
ENSMUSG00000073664	Nbeal1
ENSMUSG00000049439	Cyp20a1
ENSMUSG00000026782	Abi2
ENSMUSG00000026014	Raph1
ENSMUSG00000026012	Cd28
ENSMUSG00000026011	Ctla4
ENSMUSG00000026009	Icos
ENSMUSG00000052062	Pard3b
ENSMUSG00000025969	Nrp2
ENSMUSG00000100811	Gm29083
ENSMUSG00000100426	Gm4208
ENSMUSG00000040865	Ino80d
ENSMUSG00000084799	Ino80dos
ENSMUSG00000101599	Gm20342
ENSMUSG00000025968	Ndufs1
ENSMUSG00000025967	Eef1b2
ENSMUSG00000025964	Adam23
ENSMUSG00000025962	Fastkd2
ENSMUSG00000025959	Klf7
ENSMUSG00000097272	Gm26649
ENSMUSG00000086836	Gm13748
ENSMUSG00000101895	Gm28981
ENSMUSG00000025958	Creb1
ENSMUSG00000025956	Mettl21a
ENSMUSG00000101832	Gm28982
ENSMUSG00000070871	Ccnyl1
ENSMUSG00000045005	Fzd5
ENSMUSG00000051344	Plekhm3
ENSMUSG00000025955	Akr1cl
ENSMUSG00000044429	Cryga
ENSMUSG00000044816	D630023F18Rik
ENSMUSG00000025950	Idh1
ENSMUSG00000025949	Pikfyve
ENSMUSG00000025946	Pth2r
ENSMUSG00000026005	Rpe
ENSMUSG00000026004	Kansl1l
ENSMUSG00000026003	Acadl
ENSMUSG00000026000	Lancl1
ENSMUSG00000101156	Gm29114
ENSMUSG00000025997	Ikzf2
ENSMUSG00000026196	Bard1
ENSMUSG00000026192	Atic
ENSMUSG00000026193	Fn1
ENSMUSG00000073652	Apol7d
ENSMUSG00000099707	Gm8883
ENSMUSG00000101211	Gm28818
ENSMUSG00000101848	4933417E11Rik
ENSMUSG00000102123	Gm4319
ENSMUSG00000039395	Mreg
ENSMUSG00000097131	D230017M19Rik
ENSMUSG00000026189	Pecr
ENSMUSG00000026188	Tmem169
ENSMUSG00000026187	Xrcc5
ENSMUSG00000039372	March4
ENSMUSG00000039354	Smarcal1
ENSMUSG00000046330	Rpl37a
ENSMUSG00000026185	Igfbp5
ENSMUSG00000055322	Tns1
ENSMUSG00000061815	Rufy4
ENSMUSG00000026180	Cxcr2
ENSMUSG00000006304	Arpc2
ENSMUSG00000006299	Aamp
ENSMUSG00000101503	Gm28364
ENSMUSG00000026179	Pnkd
ENSMUSG00000006301	Tmbim1
ENSMUSG00000073650	Catip
ENSMUSG00000026177	Slc11a1
ENSMUSG00000026176	Ctdsp1
ENSMUSG00000026175	Vil1
ENSMUSG00000033364	Usp37
ENSMUSG00000026174	Rqcd1
ENSMUSG00000026173	Plcd4
ENSMUSG00000026135	Zfp142
ENSMUSG00000026172	Bcs1l
ENSMUSG00000026171	Rnf25
ENSMUSG00000033276	Stk36
ENSMUSG00000033257	Ttll4
ENSMUSG00000026170	Cyp27a1
ENSMUSG00000006542	Prkag3
ENSMUSG00000033227	Wnt6
ENSMUSG00000099472	Gm29539
ENSMUSG00000026167	Wnt10a
ENSMUSG00000006538	Ihh
ENSMUSG00000026162	Nhej1
ENSMUSG00000033159	Cnppd1
ENSMUSG00000049339	Fam134a
ENSMUSG00000026197	Zfand2b
ENSMUSG00000026198	Abcb6
ENSMUSG00000033124	Atg9a
ENSMUSG00000026199	Ankzf1
ENSMUSG00000026200	Glb1l
ENSMUSG00000026201	Stk16
ENSMUSG00000026202	Tuba4a
ENSMUSG00000096094	A630095N17Rik
ENSMUSG00000026203	Dnajb2
ENSMUSG00000026204	Ptprn
ENSMUSG00000026209	Dnpep
ENSMUSG00000026207	Speg
ENSMUSG00000033021	Gmppa
ENSMUSG00000032997	Chpf
ENSMUSG00000026211	Obsl1
ENSMUSG00000051703	Tmem198
ENSMUSG00000026213	Stk11ip
ENSMUSG00000006576	Slc4a3
ENSMUSG00000026235	Epha4
ENSMUSG00000101849	Gm28386
ENSMUSG00000032908	Sgpp2
ENSMUSG00000026245	Farsb
ENSMUSG00000012187	Mogat1
ENSMUSG00000032883	Acsl3
ENSMUSG00000079470	Utp14b
ENSMUSG00000054702	Ap1s3
ENSMUSG00000073643	Wdfy1
ENSMUSG00000026248	Mrpl44
ENSMUSG00000026249	Serpine2
ENSMUSG00000004364	Cul3
ENSMUSG00000101722	Gm29125
ENSMUSG00000101483	1700016L21Rik
ENSMUSG00000038608	Dock10
ENSMUSG00000026142	Rhbdd1
ENSMUSG00000100786	Gm28940
ENSMUSG00000067158	Col4a4
ENSMUSG00000026150	Mff
ENSMUSG00000026149	Tm4sf20
ENSMUSG00000026159	Agfg1
ENSMUSG00000026163	Sphkap
ENSMUSG00000045658	Pid1
ENSMUSG00000036766	Dner
ENSMUSG00000026219	Trip12
ENSMUSG00000073633	Fbxo36
ENSMUSG00000026220	Slc16a14
ENSMUSG00000052477	C130026I21Rik
ENSMUSG00000089844	A530032D15Rik
ENSMUSG00000073631	Gm10553
ENSMUSG00000072109	A530040E14Rik
ENSMUSG00000094127	G530012D18Rik
ENSMUSG00000070034	Sp110
ENSMUSG00000070031	Sp140
ENSMUSG00000090246	Gm17017
ENSMUSG00000026222	Sp100
ENSMUSG00000052760	A630001G21Rik
ENSMUSG00000036707	Cab39
ENSMUSG00000026223	Itm2c
ENSMUSG00000099767	Gm28884
ENSMUSG00000049608	Gpr55
ENSMUSG00000100108	Gm28100
ENSMUSG00000026227	2810459M11Rik
ENSMUSG00000026229	Psmd1
ENSMUSG00000026228	Htr2b
ENSMUSG00000094638	Gm21972
ENSMUSG00000062590	Armc9
ENSMUSG00000087538	Gm16341
ENSMUSG00000079445	B3gnt7
ENSMUSG00000099644	Gm28626
ENSMUSG00000026234	Ncl
ENSMUSG00000026237	Nmur1
ENSMUSG00000026238	Ptma
ENSMUSG00000026239	Pde6d
ENSMUSG00000026240	Cops7b
ENSMUSG00000026241	Nppc
ENSMUSG00000053333	Dis3l2
ENSMUSG00000026253	Chrng
ENSMUSG00000026254	Eif4e2
ENSMUSG00000026255	Efhd1
ENSMUSG00000048000	Gigyf2
ENSMUSG00000079436	Kcnj13
ENSMUSG00000026258	3110079O15Rik
ENSMUSG00000026288	Inpp5d
ENSMUSG00000026289	Atg16l1
ENSMUSG00000056055	Sag
ENSMUSG00000070738	Dgkd
ENSMUSG00000101942	Gm19582
ENSMUSG00000005501	Usp40
ENSMUSG00000090124	Ugt1a7c
